"TOA5","CR1000_Lanyu","CR1000","81819","CR1000.Std.31","CPU:CR1000_CWB_RadObs_Lanyu_20180928.CR1","36738","Aux_minute"
"TIMESTAMP","RECORD","BattV_Min","SWD_tot_mv_Avg","SWD_dif_mv_Avg","SWD_dir_mv_Avg","LWD_mv_Avg","UVB_mv_Avg","UVE_mv_Avg","PAR_mv_Avg","SWD_tot_ct_Avg","SWD_dif_ct_Avg","LWD_ct_Avg","mt_flag_Tot","SWD_tot_mv_Max","SWD_tot_mv_Min","SWD_tot_mv_Std","SWD_dif_mv_Max","SWD_dif_mv_Min","SWD_dif_mv_Std","SWD_dir_mv_Max","SWD_dir_mv_Min","SWD_dir_mv_Std","LWD_mv_Max","LWD_mv_Min","LWD_mv_Std","UVB_mv_Max","UVB_mv_Min","UVB_mv_Std","UVE_mv_Max","UVE_mv_Min","UVE_mv_Std","PAR_mv_Max","PAR_mv_Min","PAR_mv_Std","SWD_tot_ct_Max","SWD_tot_ct_Min","SWD_tot_ct_Std","SWD_dif_ct_Max","SWD_dif_ct_Min","SWD_dif_ct_Std","LWD_ct_Max","LWD_ct_Min","LWD_ct_Std"
"TS","RN","Volts","mV","mV","mV","mV","mV","mV","mV","C","C","C","","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","mV","C","C","C","C","C","C","C","C","C"
"","","Min","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Avg","Tot","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std","Max","Min","Std"
"2019-05-09 00:29:00",320620,12.02,1.282465,1.267189,0.003382176,-0.08793657,57.32648,56.00471,1.495936,0,0,23.10012,0,1.302138,1.261542,0.01234238,1.288609,1.248014,0.01206387,0.003382176,0.003382151,3.189324E-09,-0.08793658,-0.08793658,0,57.52219,57.01163,0.2103356,56.33091,55.65015,0.2181451,1.518597,1.471236,0.01412605,0,0,0,0,0,0,23.14284,23.05247,0.01659031
"2019-05-09 00:30:00",320621,12.02,1.249817,1.234823,0.003382151,-0.08883784,57.03148,55.67568,1.45906,0,0,23.10801,0,1.261542,1.244632,0.004996228,1.244632,1.231103,0.004566949,0.003382151,0.003382151,0,-0.08793593,-0.09131809,0.001495645,57.52218,56.84144,0.1124228,56.16071,55.47997,0.1383455,1.471236,1.454325,0.005354753,0,0,0,0,0,0,23.14284,23.07408,0.01408625
"2019-05-09 00:31:00",320622,12.02,1.249657,1.235847,0.003325806,-0.08816203,56.97758,55.62745,1.457718,0,0,23.11541,0,1.251406,1.248014,0.00169125,1.237877,1.234485,0.001657845,0.003382179,0,0.000432983,-0.08793593,-0.09131882,0.000843541,57.1818,56.84143,0.07483003,55.82033,55.47996,0.07264687,1.457719,1.457707,3.826889E-06,0,0,0,0,0,0,23.14284,23.09569,0.01432515
"2019-05-09 00:32:00",320623,12.02,1.252189,1.238379,0.003382162,-0.08833079,56.99459,55.60475,1.458783,0,0,23.12749,0,1.258162,1.248016,0.002918656,1.244633,1.234487,0.002676531,0.003382179,0.003382156,9.779408E-09,-0.08793606,-0.09131821,0.001085691,57.01162,56.84142,0.05105533,55.65014,55.47995,0.07525943,1.464474,1.454327,0.002653106,0,0,0,0,0,0,23.16447,23.09569,0.02203855
"2019-05-09 00:33:00",320624,12.02,1.2581,1.242598,0.00338214,-0.08720285,56.99174,55.59908,1.461422,0,0,23.15326,0,1.264916,1.25477,0.003234619,1.251388,1.241242,0.002558935,0.003382156,0.00338213,1.290502E-08,-0.08455324,-0.08793606,0.001393493,57.0116,56.84142,0.05463305,55.82031,55.47995,0.08395077,1.474609,1.457698,0.004964865,0,0,0,0,0,0,23.18608,23.11732,0.01400265
"2019-05-09 00:34:00",320625,12.02,1.319599,1.302351,0.003382143,-0.08833029,57.40869,56.03304,1.541863,0,0,23.15857,0,1.376538,1.271681,0.03281417,1.359627,1.251388,0.03298626,0.003382157,0.00338213,1.372937E-08,-0.08455324,-0.09131824,0.002399098,57.69233,57.0116,0.2420076,56.33086,55.65013,0.2253976,1.609907,1.474609,0.04051637,0,0,0,0,0,0,23.18608,23.13893,0.01372113
"2019-05-09 00:35:00",320626,12.02,1.432459,1.414195,0.003382162,-0.0960534,58.0841,56.67156,1.671126,0,0,23.16489,0,1.49492,1.37992,0.03489223,1.474627,1.363009,0.0339674,0.003382172,0.003382157,7.107401E-09,-0.09131824,-0.09808299,0.002407559,58.37406,57.69233,0.2415773,57.01257,56.33086,0.2243636,1.741819,1.613289,0.03960794,0,0,0,0,0,0,23.20772,23.13893,0.01866377
"2019-05-09 00:36:00",320627,12.02,1.586686,1.565322,0.003438534,-0.1047344,59.0973,57.62519,1.847733,0,0,23.19392,0,1.687689,1.498302,0.05738777,1.660631,1.478009,0.05603324,0.006764283,0.003382141,0.0004329756,-0.09808299,-0.1116107,0.003085169,59.73534,58.37406,0.4198392,58.37385,56.84238,0.4784795,1.961642,1.745201,0.06656001,0,0,0,0,0,0,23.22932,23.13893,0.01596285
"2019-05-09 00:37:00",320628,12.02,1.753921,1.728048,0.00501684,-0.1129071,60.21477,58.76818,2.039881,0,0,23.23563,0,1.799288,1.687689,0.03271588,1.772231,1.664014,0.0318272,0.006764283,0.003382141,0.001690127,-0.1082285,-0.1183742,0.002147085,60.75733,59.73534,0.2718493,59.05544,58.37385,0.2682506,2.096915,1.965024,0.03761721,0,0,0,0,0,0,23.2726,23.18217,0.0202534
"2019-05-09 00:38:00",320629,12.02,1.828374,1.80019,0.006764241,-0.1189379,60.81689,59.27385,2.127861,0,0,23.27468,0,1.846638,1.799288,0.01320327,1.816199,1.772231,0.01245531,0.006764241,0.006764241,0,-0.1183742,-0.1217563,0.00126044,60.92752,60.41695,0.1383494,59.56601,59.05544,0.1525104,2.151028,2.096915,0.01560701,0,0,0,0,0,0,23.31584,23.22542,0.01805519
"2019-05-09 00:39:00",320630,12.02,1.852826,1.822838,0.006933299,-0.1246303,60.94704,59.46925,2.158567,0,0,23.31069,0,1.856771,1.846638,0.001966771,1.826332,1.816199,0.001947928,0.01014629,0.006764192,0.0007371102,-0.1217555,-0.1285197,0.002817792,61.09736,60.75698,0.06284685,59.56567,59.2253,0.1135902,2.164541,2.151013,0.003344449,0,0,0,0,0,0,23.35909,23.26866,0.02635829
"2019-05-09 00:40:00",320631,12.02,1.85163,1.821586,0.006820519,-0.1287443,61.06593,59.5541,2.159343,0,0,23.36576,0,1.853389,1.846611,0.00250931,1.826332,1.816172,0.0027091,0.01014629,0.006764142,0.0004329793,-0.1285187,-0.1319008,0.0008435861,61.26755,60.9269,0.1141924,59.73586,59.39521,0.08718189,2.164541,2.154379,0.002432074,0,0,0,0,0,0,23.40431,23.33351,0.02085254
"2019-05-09 00:41:00",320632,12.01,1.840687,1.810135,0.006764121,-0.1317313,60.92958,59.42627,2.150032,0,0,23.38486,0,1.846611,1.833074,0.004395366,1.819554,1.799254,0.004906787,0.006764142,0.006764112,1.407995E-08,-0.1285181,-0.1352822,0.002262428,61.09708,60.75649,0.04906817,59.5654,59.22482,0.137169,2.157761,2.13746,0.005423499,0,0,0,0,0,0,23.44756,23.35515,0.02280166
"2019-05-09 00:42:00",320633,12.01,1.847234,1.815386,0.006764153,-0.136805,60.94133,59.48907,2.157314,0,0,23.44535,0,1.853387,1.833074,0.006104382,1.822948,1.802636,0.00606894,0.006764187,0.006764112,3.706617E-08,-0.1352822,-0.1386658,0.001683095,61.09773,60.75735,0.06426566,59.56603,59.22565,0.1093491,2.167922,2.140841,0.007061076,0,0,0,0,0,0,23.48882,23.39836,0.02489987
"2019-05-09 00:43:00",320634,12.02,1.877961,1.846,0.006764175,-0.1402439,61.15431,59.57156,2.194468,0,0,23.52084,0,1.914258,1.839859,0.02526754,1.880437,1.806038,0.02501462,0.006764187,0.006764161,1.262658E-08,-0.1352837,-0.1454295,0.003624907,61.60794,60.58717,0.2973292,60.07626,59.05547,0.2845942,2.235555,2.151011,0.02871335,0,0,0,0,0,0,23.5753,23.46324,0.03042629
"2019-05-09 00:44:00",320635,12.02,1.953382,1.919899,0.006764177,-0.1455425,61.55681,60.0308,2.282008,0,0,23.56055,0,1.995445,1.914258,0.02317897,1.961623,1.880437,0.02278302,0.006764219,0.006764161,2.601952E-08,-0.1420474,-0.1488128,0.001630136,61.77785,61.26757,0.09469612,60.41636,59.73588,0.2033647,2.330273,2.238937,0.02692856,0,0,0,0,0,0,23.59691,23.52812,0.02097085
"2019-05-09 00:45:00",320636,12.02,2.038734,2.004687,0.006764213,-0.1518002,62.08699,60.57233,2.381792,0,0,23.58999,0,2.083368,1.995445,0.02676222,2.049547,1.961623,0.02637532,0.006764219,0.00676418,1.36345E-08,-0.1488128,-0.1555762,0.002056268,62.45837,61.77785,0.2514116,60.92692,60.24617,0.2567264,2.435105,2.330273,0.03116222,0,0,0,0,0,0,23.6382,23.5497,0.01968101
"2019-05-09 00:46:00",320637,12.02,2.1288,2.089962,0.006933284,-0.1582254,62.66259,61.19331,2.481552,0,0,23.6416,0,2.157773,2.08675,0.02049208,2.117188,2.049547,0.01871297,0.01014627,0.006764156,0.0007371095,-0.1555762,-0.1623403,0.00175648,63.13911,62.28819,0.2520404,61.60744,60.75651,0.2332759,2.516275,2.438487,0.02115583,0,0,0,0,0,0,23.70506,23.59297,0.02390191
"2019-05-09 00:47:00",320638,12.02,2.153313,2.113348,0.007440572,-0.156252,62.73332,61.26405,2.509445,0,0,23.69291,0,2.272757,2.086742,0.04975408,2.232172,2.046157,0.05016989,0.01014623,0.006764156,0.001352831,-0.1488114,-0.1657218,0.004694473,63.64949,62.288,0.3931402,61.94763,60.58614,0.3616749,2.651549,2.428332,0.0607661,0,0,0,0,0,0,23.74831,23.65785,0.02412644
"2019-05-09 00:48:00",320639,12.02,2.364773,2.320693,0.01008997,-0.1727695,64.01241,62.42118,2.749826,0,0,23.75254,0,2.421596,2.279521,0.04087519,2.377628,2.238936,0.03957811,0.01014635,0.006764234,0.0004329738,-0.1657218,-0.1758701,0.003509395,64.50026,63.64949,0.2355214,62.79841,61.94763,0.1813893,2.813921,2.658314,0.04473191,0,0,0,0,0,0,23.81319,23.70107,0.02643463
